Symbol,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div yield % TTM,Sector,Analyst Rating,P/B
CVX,160.76,-0.41%,6076000000,0.76,2889000000000,17.69,9.09,-32.44%,3.96%,Energy minerals,Buy,1.85
COP,113.76,+1.28%,5089000000,0.95,130928000000000,13.51,8.42,-8.01%,2.60%,Energy minerals,Buy,2.62
EOG,136.54,+1.47%,3061000000,1.01,76797000000000,10.99,12.42,-7.71%,3.82%,Energy minerals,Buy,2.61
PSX,131.32,+0.31%,2357000000,0.99,54234000000000,16.89,7.78,-53.08%,3.36%,Energy minerals,Buy,1.89
FANG,181.9,+3.00%,1968000000,0.88,53113000000000,10.42,17.46,-0.96%,6.09%,Energy minerals,Buy,1.42
MPC,159.92,+1.52%,21000000,0.9,51397000000000,12.66,12.63,-52.84%,2.09%,Energy minerals,Buy,2.75
OXY,50.91,+1.88%,12001000000,0.86,47771000000000,13.26,3.84,-15.88%,1.68%,Energy minerals,Buy,1.81
VLO,144.01,+2.75%,2466000000,1.09,45591000000000,12.92,11.15,-61.99%,3.02%,Energy minerals,Buy,1.81
HES,146.88,+0.85%,1364000000,0.83,45256000000000,17.14,8.57,+65.54%,1.24%,Energy minerals,Buy,4.18
EQT,44.28,+3.68%,7274000000,0.95,26421000000000,52.48,0.84,-88.57%,1.48%,Energy minerals,Buy,1.3
DVN,38.77,+0.78%,6577000000,0.68,25468000000000,7.18,5.4,-7.72%,5.20%,Energy minerals,Buy,1.79
EXE,96.42,+1.51%,2633000000,1.07,22276000000000,59.44,1.62,-95.59%,2.42%,Energy minerals,Buy,1.28
CTRA,26.12,+2.11%,6003000000,0.9,1924000000000,15.86,1.65,-43.12%,3.24%,Energy minerals,Strong buy,1.47
MRO,28.99,+1.40%,5382000000,0.87,16217000000000,12.50,2.32,-14.24%,1.54%,Energy minerals,Buy,1.42
PR,15.16,+2.43%,6936000000,0.74,12179000000000,9.22,1.64,+82.60%,1.49%,Energy minerals,Strong buy,1.18
OVV,44.96,+2.67%,3775000000,1.08,11704000000000,5.96,7.54,-25.19%,2.74%,Energy minerals,Buy,1.1
AR,31.95,+4.79%,4693000000,1.29,9942000000000,222.34,0.14,-94.82%,0.00%,Energy minerals,Buy,1.42
VNOM,52.69,+3.64%,626033000,0.64,9927000000000,22.55,2.34,+1.62%,4.64%,Energy minerals,Strong buy,3.87
APA,22.46,+0.36%,557000000,0.64,8309000000000,3.18,7.06,+44.91%,4.47%,Energy minerals,Neutral,1.62
RRC,34.25,+2.42%,1316000000,0.67,8265000000000,17.40,1.97,-64.74%,0.96%,Energy minerals,Neutral,2.14
DINO,43.04,+2.04%,1546000000,0.89,8098000000000,26.44,1.63,-85.90%,4.62%,Energy minerals,Buy,0.84
CHRD,130.33,+2.40%,820095000,0.85,7967000000000,6.71,19.41,-23.20%,3.93%,Energy minerals,Strong buy,0.91
HESM,35.9,+1.58%,832094000,1.11,7826000000000,15.20,2.36,+16.45%,7.28%,Energy minerals,Buy,7.04
MTDR,58.82,+2.24%,933965000,0.64,7339000000000,7.79,7.55,+7.16%,1.39%,Energy minerals,Strong buy,1.51
